id,name,price,minimum_nights,number_of_reviews
35797,Villa in Mexico City · 1 bedroom · 1 bed · 1 bath,3390,1,0
607833,Rental unit in Mexico City · ★4.83 · 1 bedroom · 1 bed · 1 bath,339,3,6
1441434,Condo in Mexico City · ★4.90 · 1 bedroom · 1 bed · 1.5 baths,3350,9,221
44616,Home in Mexico City · ★4.58 · 5 bedrooms · 8 beds · 5.5 baths,18000,1,64
1462549,Loft in Mexico City · ★4.90 · 1 bedroom · 2 beds · 2 baths,1002,3,99
609012,Rental unit in Mexico City · ★4.67 · 1 bedroom · 2 beds · 1.5 baths,1273,4,22
